File,Status,IssueType,Details
index.html,Error,Broken Link,Target '../audit/' not found
about\index.html,Error,Corruption Marker Found,'href="#"'
audit\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-04-semantic-search-optimization\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-05-headless-cms-guide\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-05-real-estate-local-seo\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-06-edtech-lead-generation\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-06-fintech-design-trends\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-07-programmatic-advertising-guide\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-07-server-side-tracking-guide\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-08-ecommerce-category-seo\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-08-google-ads-smart-bidding\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-08-healthcare-patient-acquisition\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-09-marketing-mix-modeling\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-09-meta-ads-scaling\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-10-hospitality-digital-trends\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-10-landing-page-psychology\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-11-international-seo-hreflang\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-11-retention-marketing-strategies\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-5-second-test-cro\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-aso-growth-guide\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-b2b-site-transformation-case-study\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-brand-search-volume-seo\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-brochure-sites-leak-revenue\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-cognitive-load-clean-design\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-content-marketing-roi\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-content-pruning-seo\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-content-refresh-strategy\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-cookieless-performance-marketing\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-core-web-vitals-optimization\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-crawl-budget-explained\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-dark-mode-ui-accessibility\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-digital-pr-backlinks-strategy\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-ecommerce-conversion-optimization\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-eeat-google-seo-factor\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-email-marketing-automation\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-email-nurture-sequences-leads\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-enterprise-seo-strategy\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-entity-seo-knowledge-graph\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-faceted-navigation-ecommerce\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-featured-snippets-position-zero\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-features-vs-benefits-copywriting\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-future-of-seo-2025\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-ga4-migration-guide\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-google-knowledge-panel-guide\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-inp-metric-killing-rankings\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-internal-linking-strategy\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-international-seo-hreflang\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-javascript-seo-react-angular\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-keyword-cannibalization-seo\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-keyword-density-is-dead\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-landing-page-anatomy-high-converting\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-linkedin-b2b-advertising\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-linkedin-ghostwriting-founder-brand\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-local-seo-multi-location\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-log-file-analysis-guide\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-long-form-vs-short-form-copy\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-micro-copy-magic-cro\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-mobile-first-vs-mobile-only\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-mobile-usability-errors\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-perfect-seo-blog-structure\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-podcast-seo-backlinks\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-programmatic-seo-guide\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-psychological-triggers-marketing\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-redesign-vs-revamp\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-reputation-management-orm\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-roi-of-ux\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-schema-markup-101\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-score-100-pagespeed-insights\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-seo-migration-guide\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-social-proof-trust-signals\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-technical-seo-audit-15-mins\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-thought-leadership-content\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-topic-cluster-model-seo\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-trust-signals-fortune-500\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-us-vs-them-positioning\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-ux-audit-101\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-video-marketing-strategy\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-voice-search-optimization\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-website-revamp-checklist\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-wordpress-vs-custom-code\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-zero-volume-keywords-strategy\index.html,Error,Corruption Marker Found,'href="#"'
blog\post-template\index.html,Error,Corruption Marker Found,'placeholder_fix_needed'
blog\post-template\index.html,Error,Broken Link,Target 'placeholder_fix_needed.png' not found
case-studies\index.html,Error,Corruption Marker Found,'href="#"'
clients\index.html,Error,Corruption Marker Found,'placeholder_fix_needed'
clients\index.html,Error,Corruption Marker Found,'href="#"'
clients\index.html,Error,Broken Link,Target 'placeholder_fix_needed.png' not found
clients\index.html,Error,Broken Link,Target 'placeholder_fix_needed.png' not found
clients\index.html,Error,Broken Link,Target 'placeholder_fix_needed.png' not found
clients\index.html,Error,Broken Link,Target 'placeholder_fix_needed.png' not found
clients\index.html,Error,Broken Link,Target 'placeholder_fix_needed.png' not found
contact\index.html,Error,Corruption Marker Found,'placeholder_fix_needed'
contact\index.html,Error,Corruption Marker Found,'href="#"'
contact\index.html,Error,Broken Link,Target 'placeholder_fix_needed.png' not found
industries\index.html,Error,Corruption Marker Found,'href="#"'
pages\analytics\index.html,Error,Corruption Marker Found,'href="#"'
pages\answer-engine-optimization\index.html,Error,Corruption Marker Found,'href="#"'
pages\app-store-optimization\index.html,Error,Corruption Marker Found,'href="#"'
pages\brand-authority\index.html,Error,Corruption Marker Found,'href="#"'
pages\case-study-certification-planner\index.html,Error,Corruption Marker Found,'placeholder_fix_needed'
pages\case-study-certification-planner\index.html,Error,Corruption Marker Found,'href="#"'
pages\case-study-certification-planner\index.html,Error,Broken Link,Target 'placeholder_fix_needed.png' not found
pages\case-study-edelweiss\index.html,Error,Corruption Marker Found,'href="#"'
pages\case-study-fern-hotels\index.html,Error,Corruption Marker Found,'href="#"'
pages\case-study-fern-revamp\index.html,Error,Corruption Marker Found,'href="#"'
pages\case-study-fino-bank\index.html,Error,Corruption Marker Found,'href="#"'
pages\case-study-hdb\index.html,Error,Corruption Marker Found,'placeholder_fix_needed'
pages\case-study-hdb\index.html,Error,Corruption Marker Found,'href="#"'
pages\case-study-hdb\index.html,Error,Broken Link,Target 'placeholder_fix_needed.png' not found
pages\case-study-highbar\index.html,Error,Corruption Marker Found,'href="#"'
pages\case-study-ims-proschool\index.html,Error,Corruption Marker Found,'href="#"'
pages\case-study-itm-sem\index.html,Error,Corruption Marker Found,'placeholder_fix_needed'
pages\case-study-itm-sem\index.html,Error,Corruption Marker Found,'href="#"'
pages\case-study-itm-sem\index.html,Error,Broken Link,Target 'placeholder_fix_needed.png' not found
pages\case-study-kredx\index.html,Error,Corruption Marker Found,'href="#"'
pages\case-study-kwc\index.html,Error,Corruption Marker Found,'href="#"'
pages\case-study-livingfoodz\index.html,Error,Corruption Marker Found,'placeholder_fix_needed'
pages\case-study-livingfoodz\index.html,Error,Corruption Marker Found,'href="#"'
pages\case-study-livingfoodz\index.html,Error,Broken Link,Target 'placeholder_fix_needed.png' not found
pages\case-study-metasys\index.html,Error,Corruption Marker Found,'href="#"'
pages\case-study-mintpro\index.html,Error,Corruption Marker Found,'href="#"'
pages\case-study-msidc\index.html,Error,Corruption Marker Found,'href="#"'
pages\case-study-mymilestones\index.html,Error,Corruption Marker Found,'placeholder_fix_needed'
pages\case-study-mymilestones\index.html,Error,Corruption Marker Found,'href="#"'
pages\case-study-mymilestones\index.html,Error,Broken Link,Target 'placeholder_fix_needed.png' not found
pages\case-study-royaloak\index.html,Error,Corruption Marker Found,'placeholder_fix_needed'
pages\case-study-royaloak\index.html,Error,Corruption Marker Found,'href="#"'
pages\case-study-royaloak\index.html,Error,Broken Link,Target 'placeholder_fix_needed.png' not found
pages\case-study-rudra\index.html,Error,Corruption Marker Found,'href="#"'
pages\case-study-sungrow\index.html,Error,Corruption Marker Found,'placeholder_fix_needed'
pages\case-study-sungrow\index.html,Error,Corruption Marker Found,'href="#"'
pages\case-study-sungrow\index.html,Error,Broken Link,Target 'placeholder_fix_needed.png' not found
pages\case-study-template\index.html,Error,Corruption Marker Found,'placeholder_fix_needed'
pages\case-study-template\index.html,Error,Corruption Marker Found,'href="#"'
pages\case-study-template\index.html,Error,Broken Link,Target 'placeholder_fix_needed.png' not found
pages\case-study-tradebulls\index.html,Error,Corruption Marker Found,'href="#"'
pages\case-study-tradesmart\index.html,Error,Corruption Marker Found,'href="#"'
pages\case-study-turtlemint\index.html,Error,Corruption Marker Found,'href="#"'
pages\client-template\index.html,Error,Corruption Marker Found,'href="#"'
pages\content-marketing\index.html,Error,Corruption Marker Found,'href="#"'
pages\conversion-rate-optimization\index.html,Error,Corruption Marker Found,'href="#"'
pages\conversion-sites\index.html,Error,Corruption Marker Found,'href="#"'
pages\core-web-vitals\index.html,Error,Corruption Marker Found,'href="#"'
pages\design-system\index.html,Error,Corruption Marker Found,'href="#"'
pages\ecommerce-seo\index.html,Error,Corruption Marker Found,'href="#"'
pages\enterprise-seo\index.html,Error,Corruption Marker Found,'href="#"'
pages\frameworks\index.html,Error,Corruption Marker Found,'href="#"'
pages\ga4-analytics-setup\index.html,Error,Corruption Marker Found,'placeholder_fix_needed'
pages\ga4-analytics-setup\index.html,Error,Corruption Marker Found,'href="#"'
pages\ga4-analytics-setup\index.html,Error,Broken Link,Target 'placeholder_fix_needed.png' not found
pages\gmb-optimization\index.html,Error,Corruption Marker Found,'href="#"'
pages\google-ads\index.html,Error,Corruption Marker Found,'href="#"'
pages\industry-bfsi\index.html,Error,Corruption Marker Found,'href="#"'
pages\industry-ecommerce\index.html,Error,Corruption Marker Found,'href="#"'
pages\industry-education\index.html,Error,Corruption Marker Found,'placeholder_fix_needed'
pages\industry-education\index.html,Error,Corruption Marker Found,'href="#"'
pages\industry-education\index.html,Error,Broken Link,Target 'placeholder_fix_needed.png' not found
pages\industry-hospitality\index.html,Error,Corruption Marker Found,'href="#"'
pages\industry-local\index.html,Error,Corruption Marker Found,'href="#"'
pages\landing-page-copy\index.html,Error,Corruption Marker Found,'href="#"'
pages\landing-page-optimization\index.html,Error,Corruption Marker Found,'href="#"'
pages\linkedin-ads\index.html,Error,Corruption Marker Found,'href="#"'
pages\local-seo\index.html,Error,Corruption Marker Found,'href="#"'
pages\meta-ads\index.html,Error,Corruption Marker Found,'href="#"'
pages\paid-media\index.html,Error,Corruption Marker Found,'href="#"'
pages\performance-marketing\index.html,Error,Corruption Marker Found,'href="#"'
pages\performance-strategy\index.html,Error,Corruption Marker Found,'href="#"'
pages\seo-content-strategy\index.html,Error,Corruption Marker Found,'href="#"'
pages\seo-services\index.html,Error,Corruption Marker Found,'href="#"'
pages\technical-seo\index.html,Error,Corruption Marker Found,'href="#"'
pages\web-design-development\index.html,Error,Corruption Marker Found,'placeholder_fix_needed'
pages\web-design-development\index.html,Error,Corruption Marker Found,'href="#"'
pages\web-design-development\index.html,Error,Broken Link,Target 'placeholder_fix_needed.png' not found
pages\web-technology\index.html,Error,Corruption Marker Found,'href="#"'
pages\website-revamp\index.html,Error,Corruption Marker Found,'href="#"'
services\index.html,Error,Corruption Marker Found,'href="#"'
